H;density;SonicSpeed
0;1.2250000;340.3
3000;0.9091220;328.6
6000;0.6596970;316.5
9000;0.4663480;303.9
12000;0.3108280;295.1
15000;0.1936740;295.1
18000;0.1302905;295.1
21000;0.0783211;295.75
24000;0.0491796;297.7
27000;0.0308842;299.725
30000;0.0180119;301.7
33000;0.0121331;304.775
36000;0.0073413;310.1
39000;0.0047236;315.425
42000;0.0030631;319.72
45000;0.0018813;323.5
48000;0.0013390;327.28
51000;0.0009086;328.33
54000;0.0007018;323.92
57000;0.0004951;319.51
60000;0.0002883;315.1
63000;0.0002241;310.21
66000;0.0001599;305.32
69000;0.0000957;300.43
72000;0.0000625;295.54
75000;0.0000450;290.65
78000;0.0000274;285.76
81000;0.0000139;280.87
84000;0.0000085;275.98
87000;0.0000068;271.09
90000;0.0000067;266.2
93000;0.0000065;261.31
96000;0.0000063;256.42
99000;0.0000061;251.53
102000;0.0000059;246.64
105000;0.0000057;241.75
108000;0.0000056;236.86
111000;0.0000054;231.97
114000;0.0000052;227.08
117000;0.0000050;222.19
120000;0.0000048;217.3
123000;0.0000047;212.41
126000;0.0000045;207.52
129000;0.0000043;202.63
132000;0.0000041;197.74
135000;0.0000039;192.85
138000;0.0000038;187.96
141000;0.0000036;183.07
144000;0.0000034;178.18
147000;0.0000032;173.29
150000;0.0000030;168.4
;;
