H;density;SonicSpeed
0;0.015029860;244.2
2000;0.012658360;243.2
4000;0.010661780;242.2
6000;0.008980750;241.2
8000;0.007636290;239.6
10000;0.006502840;237.3
12000;0.005539750;235
14000;0.004721160;232.6
16000;0.004025190;230.2
18000;0.003433300;227.8
20000;0.002929750;225.4
22000;0.002501230;223
24000;0.002136430;220.5
26000;0.001825760;218
28000;0.001561110;215.4
30000;0.001335570;212.9
32000;0.001143280;210.3
34000;0.000979290;207.7
36000;0.000839360;205.1
38000;0.000719920;202.5
40000;0.000617920;199.9
42000;0.000530780;197.3
44000;0.000456290;194.7
46000;0.000392590;192.1
48000;0.000338090;189.5
50000;0.000291440;186.9
52000;0.000251480;184.3
54000;0.000217240;181.7
56000;0.000187880;179.1
58000;0.000162690;176.5
60000;0.000141070;173.9
62000;0.000122500;171.3
64000;0.000106540;168.7
66000;0.000092820;166.1
68000;0.000081020;163.5
70000;0.000070860;160.9
72000;0.000062110;158.3
74000;0.000054570;155.7
76000;0.000048080;153.1
78000;0.000042490;150.5
80000;0.000037680;147.9
82000;0.000033540;145.3
84000;0.000029980;142.7
86000;0.000026930;140.1
88000;0.000024330;137.5
90000;0.000022130;134.9
92000;0.000000000;132.3
94000;0.000000000;129.7
96000;0.000000000;127.1
98000;0.000000000;124.5
100000;0.000000000;121.9
